marinova2008frontline	10.1509/jmkg.72.2.28	marinova2008frontline
marinova2014membership	10.1007/s11747-014-0374-9	marinova2014membership
marinova2016prescribe	10.1093/jcr/ucw057	marinova2016prescribe
marinova2017gettingsmart	10.1177/1094670516679273	marinova2017gettingsmart
marinova2018frontline	10.1509/jmr.15.0243	marinova2018frontline
mayzlin2006chat	10.1287/mksc.1050.0137	mayzlin2006chat
mayzlin2014promotional	10.1257/aer.104.8.2421	mayzlin2014promotional
mela1997longterm	10.1177/002224379703400205	mela1997longterm
melumad2023vocalizing	10.1093/jcr/ucad009	melumad2023vocalizing
melzner2023sound	10.1177/00222437221135188	melzner2023sound
misra2019banditpricing	10.1287/mksc.2018.1129	misra2019banditpricing
mogilner2009timevsmoney	10.1086/597161	mogilner2009timevsmoney
narasimhan1988promotion	10.1086/296442	narasimhan1988b
narasimhan2000marketentry	10.1287/mksc.19.4.313.11790	narasimhan2000marketentry
nickerson2021csr	10.1177/00222429211044155	nickerson2021csr
nijs2007retailprice	10.1287/mksc.1060.0205	nijs2007retailprice
nijs2014categorycaptain	10.1287/mksc.2013.0822	nijs2014categorycaptain
nunes2006endowed	10.1086/500480	nunes2006endowed
nunes2006endowedprogress	10.1086/500480	nunes2006endowed
odonnell2023bundle	10.1093/jcr/ucac017	odonnell2023bundle
pazgal2016asymmetricentry	10.1016/j.ijresmar.2015.08.002	pazgal2016asymmetricentry
pei2022affiliation	10.1287/mksc.2021.1322	pei2022affiliation
peng2018communication	10.1109/dsc.2018.00020	peng2018communication
peng2023extensions	10.1177/00222429231164654	peng2023extensions
proserpio2017reputation	10.1287/mksc.2017.1043	proserpio2017
puntoni2021ai	10.1177/0022242920953847	puntoni2021ai
puzakova2018rivals	10.1093/jcr/ucy035	puzakova2018rivals
rajavi2023goodbadtimes	10.1177/00222429221122698	rajavi2023goodbadtimes
ratchford2006editorial	10.1287/mksc.1060.0234	ratchford2006editorial
reich2025corporateness	10.1093/jcr/ucae069	reich2025corporateness
rick2008tightwads	10.1086/523285	rick2008tightwads
rossi1996purchasehistory	10.1287/mksc.15.4.321	rossi1996purchasehistory
rossi2003bayesian	10.1287/mksc.22.3.304.17739	rossi2003bayesian
rust2021reputation	10.1177/0022242921995173	rust2021
rutz2011generic	10.1509/jmkr.48.1.87	Rutz_2011
rutz2012banner	10.1007/s11129-011-9114-3	rutz2012banner
sahni2015temporal	10.1007/s11129-015-9159-9	sahni2015temporal
sahni2016spillovers	10.1509/jmr.14.0274	sahni2016
sawyer1983significance	10.1177/002224378302000203	sawyer1983significance
schwartz2021optingin	10.1016/j.obhdp.2019.01.003	schwartz2021optingin
schwarz1991ease	10.1037/0022-3514.61.2.195	schwarz1991ease
schwarz2004metacognitive	10.1207/s15327663jcp1404_2	schwarz2004metacognitive
seetharaman1999crosscategory	10.1177/002224379903600407	seetharaman1999crosscategory
seetharaman2004statedependence	10.1287/mksc.1030.0024	seetharaman2004statedependence
seiler2017conversionfunnel	10.1007/s11129-017-9184-y	seiler2017conversionfunnel
sethuraman2011advertising	10.1509/jmkr.48.3.457	sethuraman2011
shaw2001bartels	10.1177/0276146701212006	shaw2001bartels
shaw2005schools	10.1177/1470593105054898	shaw2005schools
shen2018behaviorbased	10.1287/mnsc.2016.2719	shen2018behaviorbased
sheth1988theory		sheth1988theory
shu2009meretouch	10.1086/598614	shu2009meretouch
shu2011psychownership	10.1016/j.jcps.2011.01.002	shu2011psychownership
simmons2011falsepositive	10.1177/0956797611417632	simmons2011falsepositive
simonov2018brandkeywords	10.1287/mksc.2017.1065	simonov2018
simonsohn2014pcurve	10.1037/a0033242	simonsohn2014pcurve
singh2013stemming	10.1365/s11621-013-0274-2	singh2013stemming
singh2018query	10.1007/s11747-017-0569-y	singh2018query
singh2020enegotiations	10.1177/0022242919899381	singh2020enegotiations
sood2012brandname	10.1509/jmr.07.0418	sood2012brandname
spiller2011opportunitycost	10.1086/660045	spiller2011opportunitycost
srinivasan2008demandprice	10.1509/jmkg.72.2.15	srinivasan2008demandprice
srinivasan2009innovation	10.1509/jmkg.73.1.024	srinivasan2009innovation
stabler2020csi	10.1177/0022242920911907	stabler2020csi
tan2021ar	10.1177/0022242921995449	tan2021ar
tang2020lessismore	10.1007/s11747-019-00646-w	tang2020lessismore
tellis1988advertising	10.1177/002224378802500202	tellis1988advertising
tellis2019virality	10.1177/0022242919841034	tellis2019
thomadsen2007positioning	10.1287/mksc.1070.0296	thomadsen2007positioning
tirunillai2017offlinetv	10.1287/mksc.2017.1040	tirunillai2017
tully2015material	10.1093/jcr/ucv007	tully2015material
tully2018debt	10.1093/jcr/ucx078	tully2017
vakratsas1999advertising	10.1177/002224299906300103	vakratsas1999advertising
vargo2004newlogic	10.1509/jmkg.68.1.1.24036	vargo2004newlogic
villasboas2004learning	10.1287/mksc.1030.0044	villasboas2004learning
villasboas2004pricecycles	10.2307/1593704	villasboas2004pricecycles
villasboas2009productvariety	10.1287/mnsc.1090.1024	villasboas2009productvariety
warren2019coolness	10.1177/0022242919857698	warren2019
wilbur2008dvr	10.2753/joa0091-3367370111	wilbur2008dvr
wilbur2008twosided	10.1287/mksc.1070.0303	wilbur2008twosided
wilbur2016avoidance	10.1080/08997764.2016.1170022	wilbur2016
wilkie1999contributions	10.1177/00222429990634s118	wilkie1999contributions
wilkie2003eras	10.1509/jppm.22.2.116.17639	wilkie2003eras
wilkie2006macromarketing	10.1177/0276146706291067	wilkie2006macromarketing
wood2024jcrmethods	10.1093/jcr/ucae017	wood2024jcrmethods
